País,Año,SalMed Local,Moneda,SalMed $,SalMed €,Var
España [+],2021,26.832,€,31.735 $,26.832 €,"3,09%"
Alemania [+],2021,52.556,€,62.158 $,52.556 €,"3,05%"
Reino Unido [+],2020,41.807,£,55.054 $,46.990 €,"0,29%"
Francia [+],2021,39.971,€,47.274 $,39.971 €,"5,41%"
Italia [+],2021,34.032,€,40.250 $,34.032 €,"5,49%"
Portugal [+],2021,20.602,€,24.366 $,20.602 €,"3,22%"
Estados Unidos [+],2021,60.220,$,62.954 $,53.229 €,"2,15%"
Japón [+],2021,5.185.181,¥,46.868 $,39.628 €,"-5,00%"
Austria [+],2021,50.460,€,59.679 $,50.460 €,"2,80%"
Australia [+],2020,90.861,$,63.864 $,54.904 €,"0,77%"
Bélgica [+],2021,52.248,€,61.794 $,52.248 €,"3,85%"
Bulgaria [+],2021,5.080,лв,10.596 $,8.959 €,"5,13%"
Canadá [+],2020,57.292,$,39.792 $,37.446 €,"0,30%"
Suiza [+],2021,87.363,CHF,103.369 $,87.401 €,"2,34%"
Chile [+],2020,10.279.535,$,12.984 $,11.367 €,"-10,88%"
Colombia [+],2020,16.033.240,$,4.338 $,3.798 €,"-24,59%"
Chipre [+],2021,22.994,€,27.195 $,22.994 €,"2,47%"
República Checa [+],2021,402.261,Kč,20.080 $,16.978 €,"7,71%"
Dinamarca [+],2021,437.094,kr,72.774 $,61.532 €,"4,24%"
Estonia [+],2021,18.329,€,21.677 $,18.329 €,"6,42%"
Finlandia [+],2021,47.915,€,56.669 $,47.915 €,"3,11%"
Grecia [+],2021,18.831,€,22.272 $,18.831 €,"-0,01%"
Croacia [+],2021,16.863 $,14.258 €,"2,11%"
Hungría [+],2021,5.011.590,Ft,17.815 $,15.063 €,"4,90%"
Irlanda [+],2021,50.636,€,59.887 $,50.636 €,"1,52%"
Israel [+],2020,157.093,₪,35.496 $,40.015 €,"-0,85%"
Islandia [+],2021,9.247.101,kr,79.582 $,67.288 €,"9,17%"
Corea del Sur [+],2020,46.020.316,₩,37.229 $,34.201 €,"-3,55%"
Lituania [+],2021,18.711,€,22.129 $,18.711 €,"11,08%"
Luxemburgo [+],2021,67.263,€,79.552 $,67.263 €,"4,41%"
Letonia [+],2021,15.270,€,18.060 $,15.270 €,"11,82%"
Malta [+],2021,23.950,€,28.326 $,23.950 €,"-7,54%"
México [+],2020,131.163,$,6.671 $,5.349 €,"-13,38%"
Países Bajos [+],2021,55.339,€,65.449 $,55.339 €,"1,52%"
Noruega [+],2021,627.370,kr,76.793 $,64.930 €,"10,74%"
Nueva Zelanda [+],2020,64.150,$,39.080 $,36.530 €,"-0,14%"
Polonia [+],2021,60.915,zł,16.604 $,14.039 €,"2,72%"
Rumanía [+],2021,14.999 $,12.682 €,"4,87%"
Suecia [+],2021,465.767,kr,56.288 $,47.592 €,"7,50%"
Eslovenia [+],2021,22.485,€,26.594 $,22.485 €,"6,80%"
Eslovaquia [+],2021,14.075,€,16.646 $,14.075 €,"4,89%"
Turquía [+],2021,74.751,₤,9.809 $,8.294 €,"-8,40%"
