Ciudad,Empresa,Sueldo,Periodo
madrid,BBVA,35.957 € /año,Data Scientist
madrid,Telefónica,39.884 € /año,Data Scientist
madrid,Santander,34.867 € /año,Data Scientist
madrid,Accenture,45.000 € /año,Data Scientist
madrid,EY,30.254 € /año,Data Scientist
madrid,Minsait,34.800 € /año,Data Scientist
madrid,Orange,34.602 € /año,Data Scientist
madrid,McKinsey & Company,35.264 € /año,Data Scientist
madrid,everis,25.679 € /año,Data Scientist
madrid,IIC,33.793 € /año,Data Scientist
madrid,Capgemini,36.246 € /año,Data Scientist
madrid,Capgemini Engineering,32.943 € /año,Data Scientist
madrid,Vodafone,44.508 € /año,Data Scientist
madrid,Boston Consulting Group,47.157 € /año,Data Scientist
madrid,Quental Technologies,31.642 € /año,Data Scientist
madrid,Deloitte,27.131 € /año,Data Scientist
madrid,Management Solutions,28.193 € /año,Data Scientist
madrid,Airbus,47.321 € /año,Data Scientist
madrid,KPMG,32.036 € /año,Data Scientist
madrid,Cabify,42.936 € /año,Data Scientist
madrid,The Cocktail,28.500 € /año,Data Scientist
madrid,Intelygenz,39.897 € /año,Data Scientist
madrid,Equifax,44.275 € /año,Data Scientist
madrid,EUROSTAR MEDIAGROUP,38.040 € /año,Data Scientist
madrid,Synergic Partners,41.008 € /año,Data Scientist
madrid,Indra,35.529 € /año,Data Scientist
madrid,PwC,38.925 € /año,Data Scientist
madrid,IBM,35.032 € /año,Data Scientist
madrid,Amadeus,41.087 € /año,Data Scientist
madrid,GMV,33.859 € /año,Data Scientist
madrid,Iberia,48.067 € /año,Data Scientist
madrid,UST,31.547 € /año,Data Scientist
madrid,Bankia,48.262 € /año,Data Scientist
madrid,Openbank,66.788 € /año,Data Scientist
madrid,Bosonit,24.000 € /año,Data Scientist
madrid,Olympic Channel Services,42.063 € /año,Data Scientist
madrid,Datio,47.235 € /año,Data Scientist
madrid,OpenSistemas,36.978 € /año,Data Scientist
madrid,AEROENGY,25.778 € /año,Data Scientist
madrid,El Corte Inglés,Sobre 33 mil € -37 mil €,Data Scientist
madrid,CaixaBank,Sobre 33 mil € -48 mil €,Data Scientist
madrid,Atos,Sobre 27 mil € -38 mil €,Data Scientist
madrid,Acciona,Sobre 522 € -559 €,Data Scientist - Becario por mes
